Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /attacks,53,0,16,21.668999999506784,12.410099996486679,99.59009999874979,215149.0,0.9049017891936891,0.0,16,18,19,21,31,82,94,100,100,100,100
GET,GET /attacks/severities,13,0,4,3.971907693015125,3.3232999994652346,6.388499998138286,372.0,0.2219570426324143,0.0,4,4,4,4,5,6,6,6,6,6,6
GET,GET /attacks/types,5,0,4,3.74207999848295,3.282799996668473,4.651199997169897,631.0,0.08536809332015935,0.0,4,4,4,5,5,5,5,5,5,5,5
GET,GET /audit,3,0,6,6.9620000043263035,5.833499992149882,9.176600011414848,17406.0,0.05122085599209561,0.0,6,6,9,9,9,9,9,9,9,9,9
GET,GET /auth/me,17,0,5,4.7024764704367366,4.153300003963523,6.532100000185892,240.0,0.29025151728854176,0.0,5,5,5,5,5,7,7,7,7,7,7
GET,GET /campaigns,14,0,18,30.30897857180597,13.410400002612732,145.19389999622945,3152.0,0.23903066129644618,0.0,18,21,25,28,65,150,150,150,150,150,150
GET,GET /engagements,7,0,6,6.441185714460777,4.458700001123361,12.600700007169507,1325.0,0.11951533064822309,0.0,6,6,7,7,13,13,13,13,13,13,13
GET,GET /health/ready,30,0,4,4.324279999612675,2.8913999994983897,10.290199992596172,54.0,0.512208559920956,0.0,4,4,4,5,7,9,10,10,10,10,10
GET,GET /reports,14,0,19,21.633485712560027,17.561200002091937,40.41609998967033,1202.0,0.23903066129644618,0.0,19,21,21,23,30,40,40,40,40,40,40
GET,GET /targets,51,0,6,7.106101961564455,4.2095999961020425,35.49560000828933,2618.0,0.8707545518656253,0.0,6,6,7,7,9,13,13,35,35,35,35
POST,POST /auth/login,8,0,330,355.22507499808853,256.3929000025382,539.627099991776,1060.0,0.13658894931225496,0.0,340,350,490,490,540,540,540,540,540,540,540
,Aggregated,215,0,7,25.236526976656275,2.8913999994983897,539.627099991776,54330.395348837206,3.670828012766852,0.0,7,14,16,18,25,94,330,350,540,540,540
