Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777817105,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777817106,2,,Aggregated,0.000000,0.000000,340,340,350,350,350,350,350,350,350,350,350,4,0,65,191.08337500074413,12.600700007169507,347.30490000220016,1649.25
1777817107,4,,Aggregated,0.000000,0.000000,65,260,340,340,350,350,350,350,350,350,350,7,0,65,149.3734714292389,6.3135000091278926,347.30490000220016,31837.14285714286
1777817108,6,,Aggregated,0.000000,0.000000,150,260,350,350,490,540,540,540,540,540,540,12,0,94,199.93241666573644,6.3135000091278926,539.627099991776,54869.166666666664
1777817109,8,,Aggregated,4.000000,0.000000,82,260,330,340,490,540,540,540,540,540,540,17,0,82,163.97559411758695,4.083899999386631,539.627099991776,39126.58823529412
1777817110,10,,Aggregated,3.500000,0.000000,65,260,280,330,350,490,540,540,540,540,540,23,0,65,146.87117826036663,3.4679000091273338,539.627099991776,29210.260869565216
1777817111,10,,Aggregated,4.000000,0.000000,40,150,260,330,350,490,540,540,540,540,540,25,0,40,136.1561559990514,3.4679000091273338,539.627099991776,35532.4
1777817112,10,,Aggregated,4.600000,0.000000,23,82,260,280,350,490,540,540,540,540,540,30,0,20,115.5702699989585,3.3802999969339,539.627099991776,44082.73333333333
1777817113,10,,Aggregated,4.600000,0.000000,20,82,260,260,340,490,540,540,540,540,540,32,0,19,109.14779999939128,3.3802999969339,539.627099991776,48132.78125
1777817114,10,,Aggregated,4.142857,0.000000,19,40,94,260,340,490,540,540,540,540,540,38,0,19,93.78107105256181,3.3232999994652346,539.627099991776,40796.44736842105
1777817115,10,,Aggregated,4.000000,0.000000,19,34,82,150,330,350,540,540,540,540,540,42,0,19,86.60153571413719,3.3232999994652346,539.627099991776,47227.45238095238
1777817116,10,,Aggregated,4.000000,0.000000,19,35,94,150,330,350,540,540,540,540,540,44,0,19,85.36960454545228,3.3232999994652346,539.627099991776,50042.13636363636
1777817117,10,,Aggregated,3.800000,0.000000,19,34,82,100,330,350,540,540,540,540,540,47,0,19,80.51874680832236,3.1890999962342903,539.627099991776,51431.85106382979
1777817118,10,,Aggregated,4.000000,0.000000,18,24,40,94,280,350,490,540,540,540,540,53,0,18,72.67398113150914,3.1890999962342903,539.627099991776,53877.41509433962
1777817119,10,,Aggregated,4.000000,0.000000,18,24,40,94,280,350,490,540,540,540,540,55,0,18,70.55912909060929,3.1890999962342903,539.627099991776,55877.63636363636
1777817120,10,,Aggregated,3.900000,0.000000,19,24,40,82,280,350,490,540,540,540,540,60,0,18,66.51840499956354,3.1890999962342903,539.627099991776,62032.05
1777817121,10,,Aggregated,3.800000,0.000000,18,23,35,65,260,340,490,540,540,540,540,63,0,18,63.88267142802573,3.1890999962342903,539.627099991776,62555.793650793654
1777817122,10,,Aggregated,3.700000,0.000000,16,21,34,40,260,340,490,540,540,540,540,68,0,16,59.8830367641366,3.1890999962342903,539.627099991776,61218.26470588235
1777817123,10,,Aggregated,3.600000,0.000000,16,21,30,40,260,340,490,540,540,540,540,72,0,15,57.17181249949337,3.1890999962342903,539.627099991776,60826.208333333336
1777817124,10,,Aggregated,3.700000,0.000000,15,21,28,40,260,340,490,540,540,540,540,75,0,15,55.28637999959756,3.1890999962342903,539.627099991776,58672.22666666667
1777817125,10,,Aggregated,3.800000,0.000000,15,19,26,35,260,340,490,540,540,540,540,80,0,14,52.557497499765304,3.1890999962342903,539.627099991776,57793.425
