Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777818331,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777818332,2,,Aggregated,0.000000,0.000000,9,12,18,22,28,35,54,230,290,290,290,114,0,9,17.169672807141435,3.9711999997962266,288.12500000640284,44115.71052631579
1777818333,4,,Aggregated,0.000000,0.000000,13,22,26,30,51,99,190,290,350,350,350,219,0,13,26.668710958972238,3.9711999997962266,345.7592000049772,46912.881278538815
1777818334,6,,Aggregated,94.000000,0.000000,14,24,30,36,99,150,190,330,460,460,460,325,0,14,34.861807692124366,3.9711999997962266,462.3718000075314,47019.31692307692
1777818335,8,,Aggregated,101.000000,0.000000,19,29,38,48,140,190,290,350,530,530,530,428,0,19,45.045742055969136,3.9711999997962266,527.2701999929268,47446.55373831776
1777818336,10,,Aggregated,103.000000,0.000000,22,32,44,58,170,240,330,390,530,530,530,554,0,22,52.7195879060425,3.9711999997962266,527.2701999929268,46910.30144404332
1777818337,12,,Aggregated,102.250000,0.000000,22,33,46,62,190,260,380,440,530,530,530,691,0,22,58.660436179430775,3.9711999997962266,527.430899994215,44900.28943560058
1777818338,16,,Aggregated,106.200000,0.000000,23,37,51,84,200,300,410,470,610,610,610,816,0,23,64.76752316179687,3.9711999997962266,612.0779999910155,42894.882352941175
1777818339,18,,Aggregated,112.000000,0.000000,25,41,66,110,240,350,500,590,760,760,760,913,0,25,76.11360799577056,3.9711999997962266,761.1398000008194,43618.05038335159
1777818340,20,,Aggregated,112.571429,0.000000,26,45,78,130,260,380,530,610,730,760,760,1046,0,26,82.52435774390695,3.9711999997962266,761.1398000008194,42893.58413001912
1777818341,22,,Aggregated,111.000000,0.000000,27,49,97,150,300,430,550,630,740,760,760,1153,0,27,91.79866634881675,3.9711999997962266,761.1398000008194,44753.25758889852
1777818342,24,,Aggregated,112.111111,0.000000,31,56,110,170,330,450,570,630,760,790,790,1271,0,31,100.01534579091522,3.9711999997962266,793.2600000058301,45900.493312352475
1777818343,26,,Aggregated,111.500000,0.000000,34,68,140,180,380,470,600,650,760,790,790,1395,0,34,108.61212595001466,3.9711999997962266,793.2600000058301,47264.605017921145
1777818344,28,,Aggregated,115.700000,0.000000,37,77,150,190,380,490,610,650,780,790,790,1551,0,37,114.56337923939385,3.406400006497279,793.2600000058301,46463.51901998711
1777818345,30,,Aggregated,117.300000,0.000000,40,81,160,210,390,500,610,650,790,790,790,1707,0,40,120.19360035159485,3.406400006497279,793.2600000058301,45810.02811950791
1777818346,32,,Aggregated,120.200000,0.000000,43,97,180,230,410,510,620,660,790,790,790,1826,0,43,128.1848522453835,3.406400006497279,793.2600000058301,46279.447426067905
1777818347,34,,Aggregated,126.000000,0.000000,48,100,180,240,420,520,630,690,860,870,870,1982,0,48,134.02769036332936,3.406400006497279,869.509800002561,45944.56458123108
1777818348,36,,Aggregated,126.500000,0.000000,50,120,200,260,440,540,650,710,830,870,870,2117,0,50,141.36103264055706,3.406400006497279,869.509800002561,46511.71421823335
1777818349,38,,Aggregated,125.900000,0.000000,51,140,220,310,450,560,670,760,1000,1200,1200,2215,0,51,151.0712102483698,3.406400006497279,1197.4431999988155,47779.24108352145
1777818350,40,,Aggregated,128.700000,0.000000,54,150,240,330,480,600,710,770,1000,1200,1200,2338,0,53,159.60346518400442,3.406400006497279,1197.4431999988155,47607.44225834046
1777818351,42,,Aggregated,129.600000,0.000000,55,160,260,340,500,620,730,800,1100,1200,1200,2448,0,55,165.56292148698347,3.406400006497279,1197.4431999988155,47863.98325163399
1777818352,44,,Aggregated,129.200000,0.000000,62,170,280,360,520,640,740,820,1100,1200,1200,2609,0,62,174.63164300504627,3.406400006497279,1246.4710000058403,47680.99501724799
1777818353,46,,Aggregated,130.500000,0.000000,65,180,310,380,540,640,750,830,1100,1200,1200,2734,0,65,181.5770794075065,3.406400006497279,1246.4710000058403,48360.33430870519
1777818354,48,,Aggregated,129.900000,0.000000,69,200,320,390,550,660,760,840,1100,1200,1200,2861,0,69,188.65714313181653,3.1493999995291233,1246.4710000058403,49021.859140160785
1777818355,50,,Aggregated,131.800000,0.000000,70,210,340,410,570,670,790,860,1200,1200,1200,2988,0,70,195.3371068942738,3.1493999995291233,1246.4710000058403,49191.739625167334
1777818356,52,,Aggregated,132.900000,0.000000,72,230,360,420,580,680,800,870,1200,1300,1300,3148,0,72,202.328545425686,3.1467000080738217,1341.5949000045657,49248.47744599746
1777818357,54,,Aggregated,130.000000,0.000000,73,240,370,430,590,690,820,910,1200,1300,1300,3315,0,73,206.8397287179677,3.1467000080738217,1341.5949000045657,48682.17013574661
1777818358,56,,Aggregated,131.800000,0.000000,76,250,380,440,600,710,830,940,1300,1500,1500,3470,0,76,213.8033682132844,3.1467000080738217,1529.607299991767,48713.04293948127
1777818359,58,,Aggregated,135.300000,0.000000,78,260,390,450,610,730,860,980,1300,1500,1500,3598,0,77,219.0427196220299,3.1467000080738217,1529.607299991767,48376.041133963314
1777818360,60,,Aggregated,137.900000,0.000000,79,270,400,460,620,750,900,1000,1400,1500,1500,3723,0,79,226.42374316409604,3.0958999996073544,1529.607299991767,48505.0029546065
1777818361,62,,Aggregated,138.700000,0.000000,82,290,410,470,640,770,930,1000,1500,1500,1500,3894,0,82,233.56412028759055,3.0958999996073544,1543.6002999922493,47841.33590138675
1777818362,64,,Aggregated,139.500000,0.000000,86,300,420,480,650,780,950,1000,1400,1500,1500,4049,0,86,239.0860699678782,3.0958999996073544,1543.6002999922493,47366.448752778466
1777818363,66,,Aggregated,145.200000,0.000000,88,320,440,490,650,790,970,1100,1500,1700,1700,4203,0,88,245.45888025219233,3.0958999996073544,1652.123499996378,47392.830121341896
1777818364,68,,Aggregated,146.600000,0.000000,90,330,450,500,660,820,990,1100,1500,2800,2800,4356,0,90,252.49860268594682,3.0958999996073544,2814.453600003617,47428.808310376495
1777818365,70,,Aggregated,147.700000,0.000000,93,340,460,510,680,830,1000,1200,1500,2800,2800,4497,0,93,258.29643431174907,3.0958999996073544,2814.453600003617,47255.41561040694
1777818366,72,,Aggregated,149.000000,0.000000,95,350,470,530,700,860,1000,1200,1600,2800,2800,4640,0,95,265.81553655171564,3.0958999996073544,2814.453600003617,47211.00818965517
1777818367,74,,Aggregated,150.700000,0.000000,97,370,470,540,720,870,1000,1200,1800,2800,2800,4801,0,97,272.0148425327711,3.0958999996073544,2814.453600003617,47085.32597375547
1777818368,76,,Aggregated,149.300000,0.000000,98,380,480,550,730,880,1100,1200,1800,2800,2800,4950,0,98,277.0005150908703,3.0958999996073544,2814.453600003617,47332.778585858585
1777818369,78,,Aggregated,147.700000,0.000000,100,380,500,560,750,900,1100,1300,1700,2800,2800,5087,0,100,283.6073247886448,3.0958999996073544,2814.453600003617,47555.28464713977
1777818370,80,,Aggregated,146.500000,0.000000,100,390,510,570,770,930,1200,1300,1800,2800,2800,5234,0,100,291.9391467710563,3.0958999996073544,2814.453600003617,47391.57336645013
1777818371,82,,Aggregated,149.200000,0.000000,100,400,510,580,780,950,1200,1400,1900,2800,2800,5377,0,100,297.766564199299,3.0958999996073544,2814.453600003617,47347.689603868326
1777818372,84,,Aggregated,149.900000,0.000000,110,410,530,600,790,970,1200,1400,2000,2800,2800,5536,0,110,303.9474277275445,3.0958999996073544,2814.453600003617,47441.62427745665
1777818373,86,,Aggregated,146.300000,0.000000,110,420,540,610,820,980,1200,1400,2000,2800,2800,5667,0,110,310.221564760839,3.0958999996073544,2814.453600003617,47762.174166225515
1777818374,88,,Aggregated,148.500000,0.000000,110,420,540,620,840,1000,1300,1500,2000,2800,2800,5768,0,110,318.02156863727004,3.0958999996073544,2814.453600003617,47982.57749653259
1777818375,90,,Aggregated,147.300000,0.000000,120,430,550,630,860,1100,1400,1500,2200,2800,2800,5892,0,120,328.5654273760813,3.0958999996073544,2814.453600003617,47978.16157501697
1777818376,92,,Aggregated,140.400000,0.000000,120,440,560,640,870,1100,1400,1600,2400,2900,2900,6031,0,120,334.8029637539108,3.0958999996073544,2939.3835000082618,47782.488310396286
1777818377,94,,Aggregated,136.400000,0.000000,120,450,570,660,890,1100,1400,1600,2500,3600,3600,6191,0,120,340.2191562913532,3.0958999996073544,3573.134000005666,47539.03165885963
1777818378,96,,Aggregated,139.400000,0.000000,130,450,590,670,920,1100,1500,1600,2500,3600,3600,6338,0,130,348.8252241873979,3.0958999996073544,3573.134000005666,47809.41006626696
1777818379,98,,Aggregated,139.600000,0.000000,130,460,590,680,930,1100,1500,1600,2500,3600,3600,6462,0,130,353.78166812127773,3.0958999996073544,3573.134000005666,47704.72469823584
1777818380,100,,Aggregated,138.500000,0.000000,140,460,610,700,960,1200,1500,1700,2600,3600,3600,6595,0,140,361.68989951474896,3.0958999996073544,3573.134000005666,47733.20227445034
1777818381,102,,Aggregated,137.600000,0.000000,140,470,620,720,980,1200,1500,1800,2600,3600,3600,6745,0,140,368.1577277686807,3.0958999996073544,3573.134000005666,47833.304818383986
1777818382,104,,Aggregated,137.300000,0.000000,140,470,620,730,1000,1200,1600,1800,2700,3900,3900,6856,0,140,375.28033981909044,3.0958999996073544,3873.6773999989964,48008.31257292882
1777818383,106,,Aggregated,137.400000,0.000000,140,480,630,740,1000,1300,1600,1900,2700,3900,3900,6995,0,140,383.642988434548,3.0958999996073544,3873.6773999989964,47898.59442458899
1777818384,108,,Aggregated,131.300000,0.000000,150,480,640,760,1000,1300,1600,2000,2800,3900,3900,7120,0,150,391.5949066291631,3.0958999996073544,3873.6773999989964,48035.627528089884
