Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /attacks,724,0,16,19.030054005411053,11.376700000255369,99.37789999821689,215149.0,4.05388545405042,0.0,16,18,20,22,27,35,57,65,99,99,99
GET,GET /attacks/severities,133,0,4,4.632141353795305,3.132999991066754,13.093400004436262,372.0,0.7447054770562235,0.0,4,5,5,5,7,8,9,11,13,13,13
GET,GET /attacks/types,138,0,4,4.228655798373359,2.798399989842437,9.45500000671018,631.0,0.7727019235620964,0.0,4,4,4,4,5,6,7,7,9,9,9
GET,GET /audit,104,0,6,7.259605769482173,4.6901000023353845,21.035500001744367,17406.0,0.5823260873221596,0.0,6,7,8,8,10,12,17,17,21,21,21
GET,GET /auth/me,385,0,5,6.303502078124249,3.8803000061307102,91.83480001229327,240.0,2.155726380952226,0.0,5,6,6,7,8,10,14,17,92,92,92
GET,GET /campaigns,208,0,16,20.09883605765376,11.45120000001043,109.6347999991849,3152.0,1.1646521746443192,0.0,16,18,20,23,30,38,51,83,110,110,110
GET,GET /engagements,131,0,5,6.26944656593135,3.872600005706772,28.686699995887466,1325.0,0.7335068984538742,0.0,5,6,7,7,9,11,14,19,29,29,29
GET,GET /health/ready,451,0,4,4.558338581342013,2.663599996594712,67.53200000093784,54.0,2.52527947482975,0.0,4,4,4,5,6,8,11,12,68,68,68
GET,GET /reports,218,0,20,24.327761009271438,15.184600008069538,93.08960000635125,1202.0,1.2206450676560654,0.0,21,23,25,28,36,45,69,80,93,93,93
GET,GET /targets,727,0,6,7.188996010944516,4.351199997472577,50.15569999522995,2618.0,4.070683321953943,0.0,6,7,8,8,10,11,17,22,50,50,50
POST,POST /auth/login,40,0,310,310.46152250055457,212.69800000300165,410.3159000078449,1060.0,0.22397157204698448,0.0,310,330,340,340,380,390,410,410,410,410,410
,Aggregated,3259,0,7,14.779139214656686,2.663599996594712,410.3159000078449,49361.252224608776,18.24808383252806,0.0,7,14,15,17,22,30,60,280,380,410,410
