Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777817374,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777817375,5,,Aggregated,0.000000,0.000000,34,280,290,310,320,320,320,320,320,320,320,9,0,34,140.78927777558823,4.652199990232475,323.69740000285674,25005.666666666668
1777817376,10,,Aggregated,0.000000,0.000000,57,290,320,320,360,380,380,380,380,380,380,18,0,34,153.81798333126224,4.652199990232475,384.71369999751914,36755.5
1777817377,15,,Aggregated,9.000000,0.000000,27,280,290,310,340,360,380,380,380,380,380,30,0,18,132.8215133321161,3.2315999997081235,384.71369999751914,23082.833333333332
1777817378,20,,Aggregated,9.000000,0.000000,27,270,290,310,320,340,380,380,380,380,380,43,0,27,128.21366744140315,3.2315999997081235,384.71369999751914,26513.0
1777817379,25,,Aggregated,9.666667,0.000000,27,250,290,310,340,360,380,380,380,380,380,58,0,25,122.97009655168071,3.2315999997081235,384.71369999751914,31007.379310344826
1777817380,35,,Aggregated,10.500000,0.000000,25,92,280,290,320,340,380,380,380,380,380,78,0,19,110.02574487251994,3.2315999997081235,384.71369999751914,26131.25641025641
1777817381,40,,Aggregated,11.000000,0.000000,19,80,280,290,330,350,380,390,390,390,390,96,0,18,106.60975104231814,3.2315999997081235,391.8030000058934,30539.375
1777817382,45,,Aggregated,12.666667,0.000000,18,70,250,280,320,340,380,380,390,390,390,115,0,18,100.31915913113271,3.2315999997081235,391.8030000058934,29574.069565217393
1777817383,50,,Aggregated,13.142857,0.000000,21,63,210,280,320,340,380,390,410,410,410,142,0,20,96.53739436672227,3.2315999997081235,410.3159000078449,33356.619718309856
1777817384,50,,Aggregated,13.875000,0.000000,20,50,110,280,310,340,380,390,410,410,410,168,0,19,91.2186714290978,3.2315999997081235,410.3159000078449,33488.47619047619
1777817385,50,,Aggregated,15.333333,0.000000,18,45,92,260,310,340,380,390,410,410,410,178,0,18,86.58035280955681,3.2315999997081235,410.3159000078449,33054.7808988764
1777817386,50,,Aggregated,16.100000,0.000000,17,36,71,210,310,340,380,390,410,410,410,200,0,17,78.36364300062996,3.2315999997081235,410.3159000078449,35993.38
1777817387,50,,Aggregated,16.300000,0.000000,16,30,63,93,310,340,380,380,410,410,410,216,0,16,73.37770231532448,3.209300004527904,410.3159000078449,37397.226851851854
1777817388,50,,Aggregated,17.400000,0.000000,15,24,45,72,290,330,380,380,410,410,410,244,0,15,66.12798196785333,3.209300004527904,410.3159000078449,36825.75
1777817389,50,,Aggregated,18.200000,0.000000,14,22,39,68,290,330,360,380,410,410,410,258,0,13,63.05655852778474,3.209300004527904,410.3159000078449,38215.992248062015
1777817390,50,,Aggregated,19.300000,0.000000,12,21,34,57,290,330,360,380,410,410,410,279,0,12,58.98999820843483,3.1528999970760196,410.3159000078449,39288.65949820788
1777817391,50,,Aggregated,19.400000,0.000000,12,19,29,49,280,320,360,380,410,410,410,297,0,12,56.07568114529119,3.1528999970760196,410.3159000078449,40646.02356902357
1777817392,50,,Aggregated,19.300000,0.000000,12,19,27,44,280,320,350,380,410,410,410,310,0,12,54.1213132263135,3.121299989288673,410.3159000078449,41061.948387096774
1777817393,50,,Aggregated,19.500000,0.000000,12,18,25,39,280,310,350,380,410,410,410,328,0,12,51.82824329313007,3.121299989288673,410.3159000078449,44104.14024390244
1777817394,50,,Aggregated,19.200000,0.000000,11,18,24,34,270,310,350,380,410,410,410,345,0,11,49.67819768150904,3.121299989288673,410.3159000078449,43246.04057971015
1777817395,50,,Aggregated,18.200000,0.000000,10,17,22,32,260,310,340,380,410,410,410,360,0,10,47.97667638914491,3.121299989288673,410.3159000078449,44455.65
1777817396,50,,Aggregated,17.400000,0.000000,10,17,22,29,250,310,340,380,410,410,410,380,0,10,45.93082315806992,3.121299989288673,410.3159000078449,45638.54210526316
1777817397,50,,Aggregated,18.100000,0.000000,10,17,20,25,110,310,340,380,410,410,410,405,0,10,43.7033935804653,3.121299989288673,410.3159000078449,46599.25432098765
1777817398,50,,Aggregated,17.700000,0.000000,9,16,20,25,110,310,340,380,410,410,410,417,0,9,42.75853501222983,3.121299989288673,410.3159000078449,46877.69064748201
1777817399,50,,Aggregated,17.700000,0.000000,9,16,19,24,93,310,340,380,410,410,410,438,0,9,41.17767420107925,3.121299989288673,410.3159000078449,47125.324200913245
1777817400,50,,Aggregated,17.200000,0.000000,9,16,19,22,83,300,340,380,410,410,410,456,0,9,39.87700548257858,2.663599996594712,410.3159000078449,47687.92324561404
1777817401,50,,Aggregated,17.500000,0.000000,9,16,19,22,80,290,340,380,410,410,410,473,0,9,38.7414619451498,2.663599996594712,410.3159000078449,46956.3023255814
1777817402,50,,Aggregated,17.800000,0.000000,8,16,19,22,71,290,340,380,410,410,410,492,0,8,37.614248170895024,2.663599996594712,410.3159000078449,46931.80081300813
1777817403,50,,Aggregated,17.700000,0.000000,8,15,18,21,68,290,340,360,410,410,410,517,0,8,36.24154951661979,2.663599996594712,410.3159000078449,45211.396518375244
1777817404,50,,Aggregated,18.100000,0.000000,8,15,18,21,64,290,340,360,410,410,410,530,0,8,35.595630188796555,2.663599996594712,410.3159000078449,45042.86226415094
1777817405,50,,Aggregated,18.600000,0.000000,8,15,18,21,58,290,340,360,410,410,410,547,0,8,34.78171535658755,2.663599996594712,410.3159000078449,45285.79890310786
1777817406,50,,Aggregated,18.500000,0.000000,8,15,18,21,51,290,330,360,410,410,410,569,0,8,33.991482601192516,2.663599996594712,410.3159000078449,43967.783831282955
1777817407,50,,Aggregated,18.300000,0.000000,8,15,18,21,49,280,330,360,410,410,410,586,0,8,33.30197269631865,2.663599996594712,410.3159000078449,43453.87372013652
1777817408,50,,Aggregated,18.800000,0.000000,8,15,18,21,45,280,330,350,410,410,410,604,0,8,32.99564288084226,2.663599996594712,410.3159000078449,44685.18543046358
1777817409,50,,Aggregated,18.800000,0.000000,8,15,18,21,44,280,330,350,410,410,410,621,0,8,32.42266586158839,2.663599996594712,410.3159000078449,45216.80515297907
1777817410,50,,Aggregated,18.500000,0.000000,8,15,18,21,43,280,330,350,410,410,410,637,0,8,31.788838304555682,2.663599996594712,410.3159000078449,44786.16169544741
1777817411,50,,Aggregated,18.400000,0.000000,8,15,18,21,43,280,330,350,410,410,410,655,0,8,31.355930687055412,2.663599996594712,410.3159000078449,44928.09465648855
1777817412,50,,Aggregated,17.800000,0.000000,8,15,18,21,41,280,330,350,410,410,410,675,0,8,30.701078222223764,2.663599996594712,410.3159000078449,45544.060740740744
1777817413,50,,Aggregated,17.900000,0.000000,8,15,18,20,39,270,330,350,410,410,410,692,0,8,30.159805491329454,2.663599996594712,410.3159000078449,45091.865606936415
1777817414,50,,Aggregated,17.700000,0.000000,8,15,18,20,37,260,320,340,410,410,410,711,0,8,29.582909845300712,2.663599996594712,410.3159000078449,45121.9099859353
1777817415,50,,Aggregated,17.200000,0.000000,8,15,18,20,37,250,320,340,410,410,410,728,0,8,29.123276098958982,2.663599996594712,410.3159000078449,45270.27197802198
1777817416,50,,Aggregated,18.000000,0.000000,8,15,18,20,36,250,320,340,410,410,410,745,0,8,28.72494845637417,2.663599996594712,410.3159000078449,45457.34899328859
1777817417,50,,Aggregated,17.900000,0.000000,8,15,17,19,35,240,320,340,410,410,410,764,0,8,28.23474031406929,2.663599996594712,410.3159000078449,46312.9332460733
1777817418,50,,Aggregated,17.700000,0.000000,7,14,17,19,34,210,320,340,410,410,410,782,0,7,27.740441815732012,2.663599996594712,410.3159000078449,45582.632992327366
1777817419,50,,Aggregated,17.400000,0.000000,7,14,17,19,34,210,320,340,410,410,410,800,0,7,27.283073874878028,2.663599996594712,410.3159000078449,45413.975
1777817420,50,,Aggregated,17.500000,0.000000,7,14,17,19,33,110,310,340,410,410,410,821,0,7,26.88218306937373,2.663599996594712,410.3159000078449,46395.81242387332
1777817421,50,,Aggregated,18.100000,0.000000,7,14,17,19,32,99,310,340,410,410,410,843,0,7,26.415697746100356,2.663599996594712,410.3159000078449,46759.73784104389
1777817422,50,,Aggregated,18.000000,0.000000,7,14,17,18,32,99,310,340,410,410,410,857,0,7,26.13451271871789,2.663599996594712,410.3159000078449,46804.567094515754
1777817423,50,,Aggregated,18.300000,0.000000,7,14,17,18,30,92,310,340,410,410,410,881,0,7,25.652817026112746,2.663599996594712,410.3159000078449,46537.27014755959
1777817424,50,,Aggregated,18.400000,0.000000,7,14,16,18,29,83,310,340,410,410,410,905,0,7,25.264482209954195,2.663599996594712,410.3159000078449,47469.46408839779
1777817425,50,,Aggregated,18.600000,0.000000,7,14,16,18,28,82,310,340,410,410,410,922,0,7,24.953434815647487,2.663599996594712,410.3159000078449,47561.018438177874
1777817426,50,,Aggregated,18.300000,0.000000,7,14,16,18,28,80,310,340,410,410,410,941,0,7,24.62959298620599,2.663599996594712,410.3159000078449,47536.03931987248
1777817427,50,,Aggregated,19.500000,0.000000,7,14,16,18,28,80,310,340,410,410,410,958,0,7,24.429389874760492,2.663599996594712,410.3159000078449,48051.576200417534
1777817428,50,,Aggregated,19.200000,0.000000,7,14,16,18,28,79,310,340,410,410,410,977,0,7,24.245109314245756,2.663599996594712,410.3159000078449,47799.934493346984
1777817429,50,,Aggregated,19.500000,0.000000,7,14,16,18,27,72,310,340,410,410,410,998,0,7,23.946480260526656,2.663599996594712,410.3159000078449,47908.80961923848
1777817430,50,,Aggregated,19.400000,0.000000,7,14,16,18,26,71,310,340,390,410,410,1016,0,7,23.68223070870023,2.663599996594712,410.3159000078449,48376.075787401576
1777817431,50,,Aggregated,19.500000,0.000000,7,14,16,18,26,70,310,340,390,410,410,1039,0,7,23.30623974976736,2.663599996594712,410.3159000078449,47949.78633301251
1777817432,50,,Aggregated,19.700000,0.000000,7,14,16,18,26,68,310,340,390,410,410,1051,0,7,23.15979971456586,2.663599996594712,410.3159000078449,48032.3986679353
1777817433,50,,Aggregated,19.400000,0.000000,7,14,16,18,25,64,310,340,390,410,410,1071,0,7,22.92655723622281,2.663599996594712,410.3159000078449,47188.14752567694
1777817434,50,,Aggregated,19.600000,0.000000,7,14,16,18,25,63,310,340,390,410,410,1089,0,7,22.677542056929607,2.663599996594712,410.3159000078449,47423.67860422406
1777817435,50,,Aggregated,19.200000,0.000000,7,14,16,18,25,58,300,330,390,410,410,1111,0,7,22.476504500460763,2.663599996594712,410.3159000078449,47515.64896489649
1777817436,50,,Aggregated,19.000000,0.000000,7,14,16,18,25,57,300,330,390,410,410,1131,0,7,22.23199504864504,2.663599996594712,410.3159000078449,47846.54376657825
1777817437,50,,Aggregated,18.000000,0.000000,7,14,16,18,25,51,300,330,390,410,410,1150,0,7,22.012903043537136,2.663599996594712,410.3159000078449,47464.39043478261
1777817438,50,,Aggregated,18.700000,0.000000,7,14,16,18,25,50,290,330,390,410,410,1166,0,7,21.920156432315707,2.663599996594712,410.3159000078449,47746.76500857633
1777817439,50,,Aggregated,19.000000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1187,0,7,21.712460151703663,2.663599996594712,410.3159000078449,48005.51727042966
1777817440,50,,Aggregated,19.100000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1207,0,7,21.516298094509047,2.663599996594712,410.3159000078449,48131.493786246894
1777817441,50,,Aggregated,18.500000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1220,0,7,21.3898755738213,2.663599996594712,410.3159000078449,48510.229508196724
1777817442,50,,Aggregated,18.500000,0.000000,7,14,16,18,25,47,290,330,390,410,410,1238,0,7,21.225083844946106,2.663599996594712,410.3159000078449,48531.80694668821
1777817443,50,,Aggregated,18.800000,0.000000,7,14,16,18,25,46,290,330,390,410,410,1262,0,7,21.10188708405821,2.663599996594712,410.3159000078449,48662.15689381934
1777817444,50,,Aggregated,18.200000,0.000000,7,14,16,18,25,50,290,330,390,410,410,1276,0,7,21.289534326096714,2.663599996594712,410.3159000078449,49145.456896551725
1777817445,50,,Aggregated,18.600000,0.000000,7,14,16,18,25,50,290,330,390,410,410,1295,0,7,21.159894594654773,2.663599996594712,410.3159000078449,48773.97142857143
1777817446,50,,Aggregated,19.000000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1314,0,7,21.057684322720505,2.663599996594712,410.3159000078449,48900.47716894977
1777817447,50,,Aggregated,18.600000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1333,0,7,20.86179879974694,2.663599996594712,410.3159000078449,48393.66016504126
1777817448,50,,Aggregated,18.200000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1352,0,7,20.787926331429293,2.663599996594712,410.3159000078449,48521.968934911245
1777817450,50,,Aggregated,17.900000,0.000000,7,14,16,18,25,49,290,330,390,410,410,1370,0,7,20.685606861374865,2.663599996594712,410.3159000078449,48841.548175182485
1777817451,50,,Aggregated,18.200000,0.000000,7,14,16,18,25,47,290,330,390,410,410,1387,0,7,20.57346539298385,2.663599996594712,410.3159000078449,49032.23792357606
1777817452,50,,Aggregated,18.300000,0.000000,7,14,16,18,25,47,290,320,390,410,410,1405,0,7,20.45160135234792,2.663599996594712,410.3159000078449,49038.99786476868
1777817453,50,,Aggregated,17.900000,0.000000,7,14,16,18,25,47,290,320,390,410,410,1426,0,7,20.324055049117774,2.663599996594712,410.3159000078449,49391.08274894811
1777817454,50,,Aggregated,17.900000,0.000000,7,14,16,18,25,46,290,320,390,410,410,1448,0,7,20.22464468233684,2.663599996594712,410.3159000078449,49852.98066298343
1777817455,50,,Aggregated,18.200000,0.000000,7,14,16,18,25,45,280,320,390,410,410,1464,0,7,20.08980908471866,2.663599996594712,410.3159000078449,49760.477459016394
1777817456,50,,Aggregated,18.500000,0.000000,7,14,16,18,25,45,280,320,390,410,410,1482,0,7,19.982095276685126,2.663599996594712,410.3159000078449,50182.88529014845
1777817457,50,,Aggregated,18.500000,0.000000,7,14,16,18,25,44,280,320,390,410,410,1507,0,7,19.806171333830275,2.663599996594712,410.3159000078449,49872.89117451891
1777817458,50,,Aggregated,18.600000,0.000000,7,14,16,18,24,44,280,320,390,410,410,1518,0,7,19.719746640370484,2.663599996594712,410.3159000078449,49950.58168642951
1777817459,50,,Aggregated,19.300000,0.000000,7,14,16,18,25,45,280,320,390,410,410,1540,0,7,19.633164026030997,2.663599996594712,410.3159000078449,49812.055194805194
1777817460,50,,Aggregated,18.300000,0.000000,7,14,16,18,24,43,280,320,390,410,410,1561,0,7,19.535031518292964,2.663599996594712,410.3159000078449,49981.0800768738
1777817461,50,,Aggregated,18.700000,0.000000,7,14,16,18,25,43,280,320,390,410,410,1582,0,7,19.465144627125476,2.663599996594712,410.3159000078449,49630.18394437421
1777817462,50,,Aggregated,19.000000,0.000000,7,14,16,18,24,43,280,320,390,410,410,1596,0,7,19.36636585221612,2.663599996594712,410.3159000078449,49482.8828320802
1777817463,50,,Aggregated,19.200000,0.000000,7,14,16,18,24,42,280,310,390,410,410,1614,0,7,19.238319330926796,2.663599996594712,410.3159000078449,49077.72242874845
1777817464,50,,Aggregated,19.000000,0.000000,7,14,16,18,24,42,280,310,390,410,410,1635,0,7,19.091018348656714,2.663599996594712,410.3159000078449,48852.78287461774
1777817465,50,,Aggregated,18.400000,0.000000,7,14,16,18,24,42,280,310,390,410,410,1655,0,7,18.96166036260178,2.663599996594712,410.3159000078449,48793.25256797583
1777817466,50,,Aggregated,18.600000,0.000000,7,14,16,18,24,41,280,310,390,410,410,1673,0,7,18.831581948674703,2.663599996594712,410.3159000078449,48663.30185295876
1777817467,50,,Aggregated,19.000000,0.000000,7,14,16,18,24,41,280,310,390,410,410,1691,0,7,18.73277256068974,2.663599996594712,410.3159000078449,48565.5659373152
1777817468,50,,Aggregated,18.700000,0.000000,7,14,16,18,24,39,270,310,390,410,410,1716,0,7,18.6166930653198,2.663599996594712,410.3159000078449,49013.46328671329
1777817469,50,,Aggregated,18.100000,0.000000,7,14,16,18,24,39,270,310,390,410,410,1730,0,7,18.545055780396595,2.663599996594712,410.3159000078449,49243.149132947976
1777817470,50,,Aggregated,19.200000,0.000000,7,14,16,18,24,39,270,310,390,410,410,1750,0,7,18.500490571505257,2.663599996594712,410.3159000078449,49692.236
